,run_id,Notes
11,30,check on patterns and learn to do them
12,76,Start left from right and if there is a change keep passing it to the left until it can not move anymore then move on to the next block 
13,62,Select items starting at the left and then to the immediate right select that item as well. If they switch places they are out of order. If they swap places proceed back to the left and see if they swap if they do continue that process until they don't switch places. Then go back and start again where you left off completing the same motion from above until no images change places. 
14,32,compare each with precious block after each swap
15,54,"Start on the first block and click the second. If nothing moves, moves on to the second block and do the same all the way down the line. If the block is sent back 1 when you click on it going forward, you must keep clicking on the block until its sent back (to the left) as far as it can go, then go back to where you were in the line of blocks and repeat the process."
16,43,"Start with the first block and move it to the right as far as it will go.  Then check all the blocks that moved against each other, moving them as necessary.  When nothing can move to the left, you've done it correctly."
17,31,compare each block with next if it swaps the recheck the previous blocks as well
18,64,go from left to right selecting 2 at a time.
19,42,Select 2 objects beside each other and see if they change position
20,73,Sort the heavy first by selecting and moving them the opposite way
21,36,"Quick Guide to Identifying Omgne Sort Patterns<br>Omgne Sort is all about efficiently sorting items by comparing pairs and swapping when necessary. To improve your accuracy and speed, here's a breakdown of key patterns:<br><br>1. Recognizing the Order of Items:<br>Least Out-of-Order: Only one swap is needed, meaning the items are almost sorted. Look for just one misplaced item.<br>Somewhat Out-of-Order: A few swaps are needed. The items are not far from sorted but have a few minor adjustments required.<br>Very Out-of-Order: Multiple swaps are needed to arrange the items in order. This means the items are fairly scrambled.<br>Most Out-of-Order: This requires the maximum number of swaps. Items are in a completely reversed or scrambled order.<br>2. Tips for Faster Sorting:<br>Start with the Extremes: Compare the items at the ends (heaviest vs. lightest) to get a sense of their order.<br>Minimize Comparisons: After each comparison, update the list to focus only on what still needs sorting.<br>Work in Small Sections: If you have 8 items, focus on smaller groups (like the first 3 or 4) to build a sorted base.<br>3. Practice Makes Perfect:<br>Familiarize Yourself with Patterns: Recognize when the arrangement is close to sorted and when it needs more adjustments.<br>Stay Calm and Focused: If you get stuck, step back and compare a new pair to continue the process."
22,68,"Hi Students. look out for the number of swaps in a sequence. If you swap in a rightly arranged sequence of 5 8 times, that's very out of order."
23,67,"Hi there, for every 5 item arranged, if you sort out items 7 out of 5 then its sure out of order."
24,57,The Omgne Sort patterns makes it easy for better understanding and accurate results<br>It is such an easy pattern mostly.<br>Usually in a numerical order.
25,71,"Hello Folks, don't forget to keep track of how the numbers are arranged."
26,51,move the animals randomly until they dont switch positions
27,70,"Hi There, look out for the pattern with the least swap."
28,69,"Hi There, the least number of swaps has the tendency for a correct order."
29,59,Try your best and click the ones to move them
